id,genres,title,overview,keywords,popularity,cast,crew,production_companies,runtime,release_year
57201,"['Action', 'Adventure', 'Western']",The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",49.046956,"Johnny Depp (Tonto), Armie Hammer (John Reid / The Lone Ranger), William Fichtner (Butch Cavendish), Helena Bonham Carter (Red Harrington), James Badge Dale (Dan Reid)",Gore Verbinski,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",149.0,2013
49521,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",99.398009,"Henry Cavill (Clark Kent / Kal-El), Amy Adams (Lois Lane), Michael Shannon (General Zod), Kevin Costner (Jonathan Kent), Diane Lane (Martha Kent)",Zack Snyder,"Legendary Pictures, Warner Bros., DC Entertainment",143.0,2013
2454,"['Adventure', 'Family', 'Fantasy']",The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",53.978602,"Ben Barnes (Prince Caspian), William Moseley (Peter Pevensie), Anna Popplewell (Susan Pevensie), Skandar Keynes (Edmund Pevensie), Georgie Henley (Lucy Pevensie)",Andrew Adamson,"Walt Disney, Walden Media, Stillking Films",150.0,2008
24428,"['Science Fiction', 'Action', 'Adventure']",The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",144.448633,"Robert Downey Jr. (Tony Stark / Iron Man), Chris Evans (Steve Rogers / Captain America), Mark Ruffalo (Bruce Banner / The Hulk), Chris Hemsworth (Thor Odinson), Scarlett Johansson (Natasha Romanoff / Black Widow)",Joss Whedon,"Paramount Pictures, Marvel Studios",143.0,2012
1865,"['Adventure', 'Action', 'Fantasy']",Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",135.413856,"Johnny Depp (Captain Jack Sparrow), Penélope Cruz (Angelica Teach), Ian McShane (Captain Edward ""Blackbeard"" Teach), Kevin McNally (Joshamee Gibbs), Geoffrey Rush (Captain Hector Barbossa)",Rob Marshall,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",136.0,2011
41154,"['Action', 'Comedy', 'Science Fiction']",Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",52.035179,"Will Smith (Agent J), Tommy Lee Jones (Agent K), Josh Brolin (Young Agent K), Michael Stuhlbarg (Griffin), Emma Thompson (Agent O)",Barry Sonnenfeld,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ",106.0,2012
122917,"['Action', 'Adventure', 'Fantasy']",The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",120.965743,"Martin Freeman (Bilbo Baggins), Ian McKellen (Gandalf), Richard Armitage (Thorin Oakenshield), Ken Stott (Balin), Graham McTavish (Dwalin)",Peter Jackson,"WingNut Films, New Line Cinema, Warner Bros. Pictures",144.0,2014
1930,"['Action', 'Adventure', 'Fantasy']",The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",89.866276,"Andrew Garfield (Peter Parker / Spider-Man), Emma Stone (Gwen Stacy), Rhys Ifans (Dr. Curt Connors / The Lizard), Denis Leary (Captain Stacy), Campbell Scott (Richard Parker)",Marc Webb,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",136.0,2012
20662,"['Action', 'Adventure']",Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",37.668301,"Russell Crowe (Robin Longstride), Cate Blanchett (Marion Loxley), Max von Sydow (Sir Walter Loxley), William Hurt (William Marshal), Mark Strong (Godfrey)",Ridley Scott,"Imagine Entertainment, Universal Pictures, Scott Free Productions",140.0,2010
57158,"['Adventure', 'Fantasy']",The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",94.370564,"Martin Freeman (Bilbo Baggins), Ian McKellen (Gandalf), Richard Armitage (Thorin Oakenshield), Ken Stott (Balin), Graham McTavish (Dwalin)",Peter Jackson,"WingNut Films, New Line Cinema, Warner Bros. Pictures",161.0,2013
2268,"['Adventure', 'Fantasy']",The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",42.990906,"Dakota Blue Richards (Lyra Belacqua), Nicole Kidman (Marisa Coulter), Daniel Craig (Lord Asriel), Sam Elliott (Lee Scoresby), Eva Green (Serafina Pekkala)",Chris Weitz,"New Line Cinema, Ingenious Film Partners, Depth of Field",113.0,2007
254,"['Adventure', 'Drama', 'Action']",King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",61.22601,"Naomi Watts (Ann Darrow), Jack Black (Carl Denham), Adrien Brody (Jack Driscoll), Thomas Kretschmann (Captain Englehorn), Colin Hanks (Preston)",Peter Jackson,"WingNut Films, Universal Pictures, Big Primate Pictures",187.0,2005
597,"['Drama', 'Romance', 'Thriller']",Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",100.025899,"Kate Winslet (Rose DeWitt Bukater), Leonardo DiCaprio (Jack Dawson), Frances Fisher (Ruth Dewitt Bukater), Billy Zane (Caledon 'Cal' Hockley), Kathy Bates (Molly Brown)",James Cameron,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",194.0,1997
271110,"['Adventure', 'Action', 'Science Fiction']",Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",198.372395,"Chris Evans (Steve Rogers / Captain America), Robert Downey Jr. (Tony Stark / Iron Man), Scarlett Johansson (Natasha Romanoff / Black Widow), Sebastian Stan (Bucky Barnes / Winter Soldier), Anthony Mackie (Sam Wilson / Falcon)","Anthony Russo, Joe Russo","Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures",147.0,2016
44833,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",64.928382,"Taylor Kitsch (Lieutenant Alex Hopper), Alexander Skarsgård (Commander Stone Hopper), Rihanna (Petty Officer Cora 'Weps' Raikes), Brooklyn Decker (Sam), Tadanobu Asano (Captain Yugi Nagata)",Peter Berg,"Universal Pictures, Hasbro, Bluegrass Films",131.0,2012
135397,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",418.708552,"Chris Pratt (Owen Grady), Bryce Dallas Howard (Claire Dearing), Irrfan Khan (Simon Masrani), Vincent D'Onofrio (Vic Hoskins), Nick Robinson (Zach Mitchell)",Colin Trevorrow,"Universal Studios, Amblin Entertainment, Legendary Pictures",124.0,2015
37724,"['Action', 'Adventure', 'Thriller']",Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",93.004993,"Daniel Craig (James Bond), Judi Dench (M), Javier Bardem (Silva), Ralph Fiennes (Gareth Mallory / M), Naomie Harris (Eve)",Sam Mendes,Columbia Pictures,143.0,2012
558,"['Action', 'Adventure', 'Fantasy']",Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",35.149586,"Tobey Maguire (Peter Parker / Spider-Man), Kirsten Dunst (Mary Jane Watson), James Franco (Harry Osborn), Alfred Molina (Dr. Otto Octavius / Doctor Octopus), Rosemary Harris (May Parker)",Sam Raimi,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",127.0,2004
68721,"['Action', 'Adventure', 'Science Fiction']",Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",77.68208,"Robert Downey Jr. (Tony Stark / Iron Man), Gwyneth Paltrow (Virginia ""Pepper"" Potts), Don Cheadle (Colonel James "" Rhodey"" Rhodes), Guy Pearce (Aldrich Killian / The Mandarin), Rebecca Hall (Maya Hansen)",Shane Black,Marvel Studios,130.0,2013
12155,"['Family', 'Fantasy', 'Adventure']",Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",78.530105,"Mia Wasikowska (Alice Kingsleigh), Johnny Depp (The Mad Hatter), Anne Hathaway (The White Queen), Helena Bonham Carter (The Red Queen), Crispin Glover (The Knave of Hearts)",Tim Burton,"Walt Disney Pictures, Team Todd, Tim Burton Productions",108.0,2010
36668,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",3.857526,"Hugh Jackman (Logan / Wolverine), Halle Berry (Ororo Munroe / Storm), Ian McKellen (Eric Lehnsherr / Magneto), Patrick Stewart (Charles Xavier / Professor X), Famke Janssen (Jean Grey / Phoenix)",Brett Ratner,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company",104.0,2006
62211,"['Animation', 'Family']",Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",89.186492,"Billy Crystal (Michael ""Mike"" Wazowski (voice)), John Goodman (James P. ""Sulley"" Sullivan (voice)), Steve Buscemi (Randall Boggs (voice)), Helen Mirren (Dean Hardscrabble (voice)), Noah Johnston (Young Mike (voice))",Dan Scanlon,"Walt Disney Pictures, Pixar Animation Studios",104.0,2013
8373,"['Science Fiction', 'Action', 'Adventure']",Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",21.939663,"Shia LaBeouf (Sam Witwicky), Megan Fox (Mikaela Banes), Josh Duhamel (Captain Lennox), Rainn Wilson (College Professor), Tyrese Gibson (USAF Tech Sergeant Epps)",Michael Bay,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment",150.0,2009
91314,"['Science Fiction', 'Action', 'Adventure']",Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",116.840296,"Mark Wahlberg (Cade Yeager), Stanley Tucci (Joshua), Kelsey Grammer (Harold Attinger), Nicola Peltz (Tessa Yeager), Jack Reynor (Shane)",Michael Bay,"Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures",165.0,2014
